event_idx,date,decision,confidence,true_direction,future_5d_return,hypothetical_return,tokens,api_calls,elapsed,exact_match,directional_match
0,2020-03-04,SHORT,0.9,SHORT,-0.12305824566541887,0.12305824566541887,0,0,7.62939453125e-06,True,True
1,2020-03-05,SHORT,0.8161874192349825,SHORT,-0.17969335850036522,0.17969335850036522,0,0,4.0531158447265625e-06,True,True
2,2020-03-10,SHORT,0.9,SHORT,-0.12350037565505176,0.12350037565505176,0,0,2.1457672119140625e-06,True,True
3,2020-03-13,SHORT,0.9,SHORT,-0.14545716734936348,0.14545716734936348,0,0,1.6689300537109375e-06,True,True
4,2020-03-16,SHORT,0.9,SHORT,-0.0649945551350788,0.0649945551350788,0,0,1.9073486328125e-06,True,True
5,2020-03-17,SHORT,0.9,SHORT,-0.032516623292939695,0.032516623292939695,0,0,1.430511474609375e-06,True,True
6,2020-03-23,SHORT,0.9,LONG,0.17358120267108024,-0.17358120267108024,0,0,1.6689300537109375e-06,False,False
7,2020-03-30,SHORT,0.9,LONG,0.012268277119775146,-0.012268277119775146,0,0,1.430511474609375e-06,False,False
8,2020-04-08,LONG,0.87441152568452,LONG,0.01850173704413192,0.01850173704413192,0,0,1.430511474609375e-06,True,True
9,2020-05-18,LONG,0.7424566643141223,LONG,0.01383078343303995,0.01383078343303995,0,0,1.6689300537109375e-06,True,True
10,2020-06-24,LONG,0.6725097866255386,LONG,0.02114496092778959,0.02114496092778959,0,0,1.1920928955078125e-06,True,True
11,2020-09-08,LONG,0.6467863110481122,LONG,0.020888069042233632,0.020888069042233632,0,0,1.6689300537109375e-06,True,True
12,2020-10-28,LONG,0.5175048843911835,LONG,0.05167429955077482,0.05167429955077482,0,0,1.430511474609375e-06,True,True
13,2021-03-01,LONG,0.5548861977488921,SHORT,-0.020175402797441115,-0.020175402797441115,0,0,1.1920928955078125e-06,False,False
14,2022-01-28,SHORT,0.9,LONG,0.015273191330005154,-0.015273191330005154,0,0,1.1920928955078125e-06,False,False
15,2022-05-05,SHORT,0.7196010186244775,SHORT,-0.05188364123357949,0.05188364123357949,0,0,1.6689300537109375e-06,True,True
16,2022-06-09,LONG,0.7406074005123677,SHORT,-0.08666310508409218,-0.08666310508409218,0,0,1.1920928955078125e-06,False,False
17,2022-06-16,SHORT,0.6317204612716936,LONG,0.06849881140634739,-0.06849881140634739,0,0,1.1920928955078125e-06,False,False
18,2022-06-21,SHORT,0.8713553616953958,LONG,0.014877288270255183,-0.014877288270255183,0,0,1.6689300537109375e-06,False,False
19,2022-07-27,LONG,0.638692053094754,LONG,0.0334381672391989,0.0334381672391989,0,0,1.430511474609375e-06,True,True
20,2022-10-03,SHORT,0.9,SHORT,-0.01797541099439446,0.01797541099439446,0,0,1.430511474609375e-06,True,True
21,2022-10-04,SHORT,0.872870363388987,SHORT,-0.053522659757496524,0.053522659757496524,0,0,1.6689300537109375e-06,True,True
22,2022-10-17,SHORT,0.8444511692553303,LONG,0.0328500008892587,-0.0328500008892587,0,0,2.384185791015625e-06,False,False
23,2022-11-10,LONG,0.7306855794160744,NEUTRAL,-0.0011401179982830573,-0.0011401179982830573,0,0,1.430511474609375e-06,False,
24,2024-11-06,LONG,0.5049470874622417,LONG,0.010405528535550287,0.010405528535550287,0,0,1.430511474609375e-06,True,True
25,2024-12-18,LONG,0.6167661378778833,LONG,0.029139717238442803,0.029139717238442803,0,0,1.1920928955078125e-06,True,True
26,2025-04-10,SHORT,0.6114016503931907,NEUTRAL,0.003488516187889601,-0.003488516187889601,0,0,1.430511474609375e-06,False,
27,2025-04-22,SHORT,0.9,LONG,0.05134207858549757,-0.05134207858549757,0,0,1.430511474609375e-06,False,False
28,2025-10-10,LONG,0.5916219602500561,LONG,0.01741147063534497,0.01741147063534497,0,0,1.430511474609375e-06,True,True
29,2026-03-31,SHORT,0.8753600955889702,LONG,0.03947163306905164,-0.03947163306905164,0,0,1.1920928955078125e-06,False,False
